replace,mileage,n
FALSE,1,286
TRUE,1,0
FALSE,2,215
TRUE,2,0
FALSE,3,221
TRUE,3,0
FALSE,4,263
TRUE,4,0
FALSE,5,255
TRUE,5,0
FALSE,6,251
TRUE,6,0
FALSE,7,216
TRUE,7,0
FALSE,8,202
TRUE,8,0
FALSE,9,214
TRUE,9,0
FALSE,10,201
TRUE,10,0
FALSE,11,190
TRUE,11,0
FALSE,12,196
TRUE,12,0
FALSE,13,178
TRUE,13,0
FALSE,14,193
TRUE,14,0
FALSE,15,185
TRUE,15,0
FALSE,16,177
TRUE,16,0
FALSE,17,184
TRUE,17,0
FALSE,18,199
TRUE,18,0
FALSE,19,174
TRUE,19,0
FALSE,20,152
TRUE,20,0
FALSE,21,145
TRUE,21,0
FALSE,22,148
TRUE,22,0
FALSE,23,150
TRUE,23,0
FALSE,24,139
TRUE,24,0
FALSE,25,139
TRUE,25,2
FALSE,26,132
TRUE,26,1
FALSE,27,138
TRUE,27,0
FALSE,28,138
TRUE,28,0
FALSE,29,118
TRUE,29,1
FALSE,30,107
TRUE,30,2
FALSE,31,117
TRUE,31,1
FALSE,32,101
TRUE,32,2
FALSE,33,104
TRUE,33,1
FALSE,34,114
TRUE,34,1
FALSE,35,108
TRUE,35,1
FALSE,36,109
TRUE,36,1
FALSE,37,108
TRUE,37,0
FALSE,38,107
TRUE,38,4
FALSE,39,108
TRUE,39,2
FALSE,40,108
TRUE,40,0
FALSE,41,104
TRUE,41,1
FALSE,42,93
TRUE,42,3
FALSE,43,90
TRUE,43,2
FALSE,44,92
TRUE,44,2
FALSE,45,80
TRUE,45,2
FALSE,46,76
TRUE,46,1
FALSE,47,69
TRUE,47,3
FALSE,48,68
TRUE,48,2
FALSE,49,64
TRUE,49,1
FALSE,50,63
TRUE,50,1
FALSE,51,50
TRUE,51,2
FALSE,52,54
TRUE,52,2
FALSE,53,44
TRUE,53,2
FALSE,54,45
TRUE,54,1
FALSE,55,35
TRUE,55,3
FALSE,56,35
TRUE,56,0
FALSE,57,36
TRUE,57,1
FALSE,58,29
TRUE,58,2
FALSE,59,34
TRUE,59,1
FALSE,60,26
TRUE,60,1
FALSE,61,26
TRUE,61,1
FALSE,62,25
TRUE,62,0
FALSE,63,22
TRUE,63,0
FALSE,64,23
TRUE,64,0
FALSE,65,21
TRUE,65,1
FALSE,66,20
TRUE,66,1
FALSE,67,13
TRUE,67,1
FALSE,68,15
TRUE,68,0
FALSE,69,17
TRUE,69,0
FALSE,70,12
TRUE,70,0
FALSE,71,5
TRUE,71,1
FALSE,72,5
TRUE,72,0
FALSE,73,3
TRUE,73,1
FALSE,74,2
TRUE,74,0
FALSE,75,2
TRUE,75,0
FALSE,76,2
TRUE,76,0
FALSE,77,2
TRUE,77,0
FALSE,78,1
TRUE,78,1
FALSE,79,0
TRUE,79,0
FALSE,80,0
TRUE,80,0
FALSE,81,0
TRUE,81,0
FALSE,82,0
TRUE,82,0
FALSE,83,0
TRUE,83,0
FALSE,84,0
TRUE,84,0
FALSE,85,0
TRUE,85,0
FALSE,86,0
TRUE,86,0
FALSE,87,0
TRUE,87,0
FALSE,88,0
TRUE,88,0
FALSE,89,0
TRUE,89,0
FALSE,90,0
TRUE,90,0
