person_id,event_id,event_name,date
28508,5880,"Nudists are people who wear one-button suits.
",2017-09-13
63713,3865,"but that's because it's the best book on anything for the layman.
",2017-10-09
63713,3999,"        If Murphy's Law can go wrong, it will.
",2017-05-02
63713,6436,"Old programmers never die.  They just branch to a new address.
",2017-09-26
82998,4470,"Help a swallow land at Capistrano.
",2017-10-22
82998,6186,"Good day to let down old friends who need help.
",2017-09-21
82998,7364,"        Among economists, the real world is often a special case.
",2017-03-20
31811,8542,"                -- Herbert Prochnow
",2017-12-03
31811,4387,"The Pig, if I am not mistaken,
",2018-01-06
61201,9621,"responsibility at the other.
",2018-04-18
61201,1750,"A: Three.  One to screw in the lightbulb and two to fend off all those
",2018-02-19
97207,1143,dplyr City Concert,2017-03-22
97207,1143,dplyr City Concert,2018-02-26
15165,811,"Minnie Mouse is a slow maze learner.
",2018-01-16
86208,1581,"""You'll never be the man your mother was!""
",2017-06-04
86208,8785,"                -- Lewis Carroll
",2017-03-01
35267,1978,"the continuing viability of Fortran.
",2017-09-17
35267,89,"Egotism is the anesthetic given by a kindly nature to relieve the pain
",2017-09-04
35267,4464,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",2017-08-20
41421,3799,"And everywhere this language went,
",2017-12-06
33856,9325,"                -- Macy's
",2017-08-30
84575,7454,"Screw up your courage!  You've screwed up everything else.
",2017-09-23
84575,8442,"A professor is one who talks in someone else's sleep.
",2017-11-02
82799,5313,"Ingrate: A man who bites the hand that feeds him, and then complains of
",2017-05-13
82799,315,"Don't cook tonight -- starve a rat today!
",2018-02-14
82799,5963,"meant to be discarded:  That the whole point is to always see it as a
",2017-04-25
96790,2506,"Experience is that marvelous thing that enables you recognize a
",2018-04-21
66493,816,"Just because your doctor has a name for your condition doesn't mean he
",2017-12-11
46263,9167,"Diplomacy is the art of saying ""nice doggy"" until you can find a rock.
",2017-04-17
46263,2559,"USER n.: A programmer who will believe anything you tell him.
",2017-01-17
46263,8995,"                -- Charlie McCarthy
",2017-08-19
98744,1097,"asked the father of his little son.
",2017-08-18
98744,3826,"FLASH!  Intelligence of mankind decreasing.  Details at ... uh, when
",2017-10-18
54263,1581,"Dealing with failure is easy:  Work hard to improve.  Success is also
",2017-08-22
54263,4837,"Real Programmers don't document.  Documentation is for simps who can't read the
",2017-06-12
54263,2270,"Gives us ham and pork and Bacon.
",2018-02-16
62764,1925,"        other.
",2017-11-21
62764,2993,"if it were so, it would be; but as it isn't, it ain't.  That's logic!""
",2017-10-14
54206,2924,"out of a divorce.
",2017-08-30
54206,346,"Avoid reality at all costs.
",2017-11-23
54206,232,"Only adults have difficulty with childproof caps.
",2017-01-18
63126,1600,"If you think last Tuesday was a drag, wait till you see what happens
",2017-04-27
16725,9035,"ends.
",2017-02-25
16725,4029,"Now, GC, for the nonce,
",2017-11-28
16725,4652,"     An unbreakable toy is useful for breaking other toys.
",2017-08-23
34615,1087,"Good day for a change of scene.  Repaper the bedroom wall.
",2017-08-22
10007,6447,"Green light in A.M. for new projects.  Red light in P.M. for traffic
",2017-09-25
10007,4273,"Modern man is the missing link between apes and human beings.
",2017-10-17
58408,9103,"Your analyst has you mixed up with another patient.  Don't believe a
",2017-02-11
44542,8416,"bread.
",2018-04-11
44542,587,"analyzed, and replaced with new weaknesses.
",2017-07-07
25224,5089,"                -- W. C. Fields
",2017-08-10
96520,8784,"Good advice is something a man gives when he is too old to set a bad
",2017-12-18
96520,6658,"In a five year period we can get one superb programming language.  Only
",2018-02-24
96520,7676,"As far as the laws of mathematics refer to reality, they are not
",2017-09-21
65564,4681,"Vital papers will demonstrate their vitality by spontaneously moving
",2017-11-12
65564,7272,"Q: How many heterosexual males does it take to screw in a light bulb in
",2017-06-24
65564,1194,"    ""All flesh is grass""
",2017-05-08
33355,9288,"How many tech writers does it take to change a lightbulb?
",2018-04-17
33355,1973,"He sure is a fun god
",2017-12-05
41899,2953,"                -- F. P. Jones
",2017-06-08
41899,7130,"The earth is like a tiny grain of sand, only much, much heavier.
",2017-12-09
41899,7401,"Real Programmers don't write in FORTRAN.  FORTRAN is for pipe stress freaks and
",2018-04-23
84695,9007,"        The one who has the gold makes the rules.
",2017-03-02
84695,4448,"What use is magic if it can't save a unicorn?
",2017-12-22
14087,8418,"Earn cash in your spare time -- blackmail your friends
",2017-12-03
14087,8342,"Christ: A man who was born at least 5,000 years ahead of his time.
",2017-01-18
14087,811,"Tomorrow will be canceled due to lack of interest.
",2018-04-04
44789,8316,"I can't complain, but sometimes I still do.
",2018-03-10
44789,3382,"There was a young lady from Hyde
",2017-01-08
44789,8883,"price went up.  The label ""ALL NEW"", ""COMPLETELY NEW"", or ""GREAT NEW""
",2017-08-12
43673,8522,"thing he tells you.
",2017-05-20
43673,4354,"There is no time like the present for postponing what you ought to be
",2017-01-30
43673,8559,"America may be unique in being a country which has leapt from barbarism
",2017-05-30
10252,6595,"The past always looks better than it was.  It's only pleasant because
",2017-06-08
10252,8306,"Q: How many IBM cpu's does it take to do a logical right shift?
",2017-10-04
10252,5415,"to decadence without touching civilization.
",2018-01-16
13861,3750,"Let Einstein be!"" restored the status quo.
",2017-11-14
36487,786,"How many hardware engineers does it take to change a lightbulb?
",2017-07-14
96956,341,"nails.
",2017-09-01
96956,2659,"Death is nature's way of telling you to slow down
",2017-08-04
96956,7995,"        If Murphy's Law can go wrong, it will.
",2017-08-07
13759,8063,"Vote anarchist
",2017-01-14
74158,7297,"                -- Amalgamated Plastic Surgeons and Toolmakers, Ltd.
",2017-05-20
59453,9624,"        When told this was so,
",2017-04-20
59453,1396,"Nature and nature's laws lay hid in night,
",2017-06-17
59453,2195,"once.
",2017-09-23
21408,5468,"Democracy is a form of government in which it is permitted to wonder
",2017-02-09
21408,5925,"Old soldiers never die.  Young ones do.
",2017-02-03
21408,8773,"climbing boots to work in case a  mountain should suddenly spring up in the
",2017-11-26
95437,2241,"        it wasn't worth doing.
",2017-07-26
95437,6503,"hour!""
",2017-10-29
57234,6653,"        If you are given a take-home exam, you will forget where you
",2017-05-06
57234,8629,"Man is the only animal that blushes -- or needs to.
",2017-07-17
61749,7258,"You might as well live.
",2018-01-09
61749,2755,"And drugs cause cramp.
",2017-12-21
94461,9122,"A language that doesn't affect the way you think about programming is
",2017-04-08
30078,7245,"Don't worry over what other people are thinking about you.  They're too
",2017-04-03
30078,4687,"described with pictures.
",2017-03-28
65870,3734,"There once was a girl named Irene
",2017-04-10
98581,2809,"You patch a bug, and dump it again:
",2017-07-10
98581,493,"Xerox never comes up with anything original.
",2017-07-04
23035,6765,"happens.
",2017-12-10
23035,3629,"Future looks spotty.  You will spill soup in late evening.
",2017-12-17
23035,388,"Conscience is the inner voice that warns us somebody is looking
",2017-12-18
49707,7466,"                -- Oscar Wilde
",2017-04-16
17543,8548,"If you think last Tuesday was a drag, wait till you see what happens
",2018-04-07
17543,3009,"Don't knock President Fillmore.  He kept us out of Vietnam.
",2017-12-25
17543,8724,"of another.
",2017-09-01
92433,1143,dplyr City Concert,2017-08-21
92433,1143,dplyr City Concert,2018-03-27
22036,3351,"Just because you're paranoid doesn't mean they AREN'T after you.
",2017-01-13
22036,2863,"And this was very odd, because it was
",2017-08-07
22036,5157,"Save energy: be apathetic.
",2018-03-05
18970,1033,"The men sat sipping their tea in silence.  After a while the klutz
",2018-02-10
